referencia;temp-media-sp;temp-media-rj;temp-media-mg
2019-03-16;22;27;24
2019-03-17;22;27;23
2019-03-18;24;28;24
2019-03-19;24;30;24
2019-03-20;21;27;24
2019-03-21;17;23;22
2019-03-22;17;23;19
2019-03-23;20;24;21
2019-03-24;20;26;22
2019-03-25;22;27;23
2019-03-26;21;27;23
2019-03-27;21;26;23
2019-03-28;19;25;22
2019-03-29;19;23;22
2019-03-30;19;24;22
2019-03-31;20;24;22
2019-04-01;20;25;22
2019-04-02;20;25;22
2019-04-03;21;26;22
2019-04-04;24;27;23
2019-04-05;25;29;24
2019-04-06;23;29;23
2019-04-07;23;29;23
2019-04-08;20;27;23
2019-04-09;18;23;22
2019-04-10;17;24;23
2019-04-11;19;24;23
2019-04-12;21;25;23
2019-04-13;21;27;24
2019-04-14;20;25;23
2019-04-15;20;25;22
2019-04-16;22;26;21
2019-04-17;20;26;21
2019-04-18;19;26;23
2019-04-19;19;25;22
2019-04-20;21;26;22
2019-04-21;22;26;23
2019-04-22;21;26;23
2019-04-23;21;26;23
2019-04-24;21;26;23
2019-04-25;22;27;22
2019-04-26;22;27;22
2019-04-27;23;27;23
2019-04-28;22;29;23
2019-04-29;19;24;23
2019-04-30;19;25;22
2019-05-01;21;25;23
2019-05-02;21;25;22
2019-05-03;22;26;22
2019-05-04;22;27;23
2019-05-05;21;27;22
2019-05-06;23;27;22
2019-05-07;20;26;23
2019-05-08;17;24;22
2019-05-09;18;24;20
2019-05-10;20;24;20
2019-05-11;22;25;21
2019-05-12;21;26;22
2019-05-13;20;26;23
2019-05-14;21;26;23
2019-05-15;17;23;21
2019-05-16;17;23;19
2019-05-17;17;21;18
2019-05-18;17;21;20
2019-05-19;18;22;20
2019-05-20;18;23;20
2019-05-21;19;23;20
2019-05-22;19;24;21
2019-05-23;19;23;21
2019-05-24;18;23;21
2019-05-25;14;24;21
2019-05-26;16;23;20
2019-05-27;18;22;21
2019-05-28;19;23;22
2019-05-29;19;23;22
2019-05-30;19;25;22
2019-05-31;21;26;21
